{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(464), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.1516839189250538, 'efficiency': 0.0, 'f1': 0.6267780537367351}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(480), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.1316062662190898, 'efficiency': 0.0, 'f1': 0.6376946316523356}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(496), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version0', 'L_true': 0.11999223501444567, 'model_score': 0.0, 'nll': 1.2222122158059119, 'efficiency': 0.0, 'f1': 0.5757339568719148}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(32), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.24906970130202322, 'nll': 0.7508888463919177, 'efficiency': 0.8963138923551538, 'f1': 0.7339401820546163}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(48), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2368920411124784, 'nll': 0.7630113631717803, 'efficiency': 0.8524907940529091, 'f1': 0.7404406178779438}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(64), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2385492564593611, 'nll': 0.7611006870474765, 'efficiency': 0.8584545268163492, 'f1': 0.7459324155193993}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(80), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2491219854286557, 'nll': 0.7508533480643511, 'efficiency': 0.8965020444619953, 'f1': 0.7419924337957124}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(96), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.2472657201540368, 'nll': 0.7527220348690904, 'efficiency': 0.8898220013060442, 'f1': 0.7441396508728179}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(112), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.25594183476095045, 'nll': 0.7440018028177282, 'efficiency': 0.9210442736787576, 'f1': 0.74757039621231}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': np.int64(128), 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.7943282347242815_active_3_version1', 'L_true': 0.27788222789626504, 'model_score': 0.24306266904357832, 'nll': 0.7569160127723196, 'efficiency': 0.8746967047288643, 'f1': 0.737301180092355}
