{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 384, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 2.1838722229003906, 'f1': 0.6343216531895777, 'model_score': 0.11714354673717375, 'efficiency': 0.5717704516320378, 'nll': 0.882580908203125, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.0182623901367187}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 512, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 2.6519196033477783, 'f1': 0.6634996041171812, 'model_score': 0.11451785774212486, 'efficiency': 0.5589546250298886, 'nll': 0.88516162109375, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.0519200073242188}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 640, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 3.144256353378296, 'f1': 0.6677393403057119, 'model_score': 0.11864892695175389, 'efficiency': 0.5791181199342412, 'nll': 0.88129248046875, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.1235979736328126}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 768, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 3.0513274669647217, 'f1': 0.6671974522292995, 'model_score': 0.11835934459684028, 'efficiency': 0.5777046862585039, 'nll': 0.8816341430664062, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.139215087890625}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 896, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 3.750326156616211, 'f1': 0.6716171617161717, 'model_score': 0.1241224454337797, 'efficiency': 0.6058340272262225, 'nll': 0.8757740356445313, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.233771484375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 1024, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version1', 'L_true': 0.20487862988163186, 'temperature': 3.5093345642089844, 'f1': 0.6744548286604362, 'model_score': 0.10226029828092409, 'efficiency': 0.4991262306859663, 'nll': 0.8975739135742188, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.1809057373046874}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 32, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.195885419845581, 'f1': 0.682258064516129, 'model_score': 0.134204921441206, 'efficiency': 0.8201989965423518, 'nll': 0.865601611328125, 'model_score_raw': 0.12810963851434265, 'efficiency_raw': 0.7829474197255866, 'nll_raw': 0.8716955322265625}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 64, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.1427596807479858, 'f1': 0.6590538336052202, 'model_score': 0.11079320977983365, 'efficiency': 0.6771173404764913, 'nll': 0.889073779296875, 'model_score_raw': 0.10196102925378159, 'efficiency_raw': 0.6231390993884967, 'nll_raw': 0.897904638671875}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 96, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.2593274116516113, 'f1': 0.6733001658374793, 'model_score': 0.13555487572061842, 'efficiency': 0.8284492986435098, 'nll': 0.8643429565429688, 'model_score_raw': 0.12449227674135632, 'efficiency_raw': 0.7608397617911952, 'nll_raw': 0.875404248046875}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 128, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.3722119331359863, 'f1': 0.6733001658374792, 'model_score': 0.14232889624567047, 'efficiency': 0.8698490087103202, 'nll': 0.8575428100585938, 'model_score_raw': 0.13582553086949367, 'efficiency_raw': 0.8301034189181806, 'nll_raw': 0.8640452026367188}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 160, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.4938764572143555, 'f1': 0.6578483245149912, 'model_score': 0.14327888431509073, 'efficiency': 0.8756549005725427, 'nll': 0.8566198608398438, 'model_score_raw': 0.13999163056412256, 'efficiency_raw': 0.8555647116363243, 'nll_raw': 0.8599067260742187}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 192, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.4572982788085938, 'f1': 0.6655574043261231, 'model_score': 0.1253916301865291, 'efficiency': 0.7663361980272595, 'nll': 0.8742917846679688, 'model_score_raw': 0.10300585378647764, 'efficiency_raw': 0.6295245882668278, 'nll_raw': 0.8966694580078125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 256, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 1.9285800457000732, 'f1': 0.6993957703927492, 'model_score': 0.12367202368525176, 'efficiency': 0.7558267508948512, 'nll': 0.8756141845703125, 'model_score_raw': 0.08684146271974391, 'efficiency_raw': 0.5307352354601099, 'nll_raw': 0.91241474609375}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 320, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 2.039194345474243, 'f1': 0.6737880032867707, 'model_score': 0.12577957060778322, 'efficiency': 0.7687071121548033, 'nll': 0.873637548828125, 'model_score_raw': 0.048241275793963534, 'efficiency_raw': 0.2948285768749985, 'nll_raw': 0.9511241455078125}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 384, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 2.534566879272461, 'f1': 0.6331658291457286, 'model_score': 0.09628888401298108, 'efficiency': 0.5884735462568614, 'nll': 0.9034707885742187, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.0064184204101563}
{'input_dim': 25, 'out_classes': 2, 'num_hidden_layers': 2, 'hidden_layer_width': 512, 'dropout': 0.1, 'activation': 'relu', 'dataset': 'dataset_000_beta_0.6309573444801932_active_3_version2', 'L_true': 0.163624830080216, 'temperature': 3.18768572807312, 'f1': 0.6306769494430163, 'model_score': 0.0920052324307502, 'efficiency': 0.5622938302557456, 'nll': 0.9079930908203125, 'model_score_raw': 0.0, 'efficiency_raw': 0.0, 'nll_raw': 1.050984375}
